matchday,date,local_time,home_team,home_team_code,away_team,away_team_code,match,attendance
21,2019-01-01,12:30:00,Everton,EVE,Leicester City,LEI,EVELEI,39052
21,2019-01-01,15:00:00,Arsenal,ARS,Fulham,FUL,ARSFUL,59887
21,2019-01-01,15:00:00,Cardiff City,CAR,Tottenham Hotspur,TOT,CARTOT,32485
21,2019-01-02,19:45:00,Bournemouth,BOU,Watford,WAT,BOUWAT,10261
21,2019-01-02,19:45:00,Chelsea,CHE,Southampton,SOU,CHESOU,40668
21,2019-01-02,19:45:00,Huddersfield Town,HUD,Burnley,BUR,HUDBUR,23715
21,2019-01-02,19:45:00,West Ham United,WHU,Brighton and Hove Albion,BHA,WHUBHA,59870
21,2019-01-02,19:45:00,Wolverhampton Wanderers,WOL,Crystal Palace,CRY,WOLCRY,30666
21,2019-01-02,20:00:00,Newcastle United,NEW,Manchester United,MUN,NEWMUN,52217
21,2019-01-03,20:00:00,Manchester City,MCI,Liverpool,LIV,MCILIV,0
