matchday,date,match,player,minute,extra_minute,scorer_team
8,2018-10-05,BHAWHU,Murray,25,,BHA
8,2018-10-06,MUNNEW,Mutō,10,,NEW
8,2018-10-06,WATBOU,Brooks,14,,BOU
8,2018-10-06,BURHUD,Vokes,20,,BUR
8,2018-10-06,WATBOU,King,33,,BOU
8,2018-10-06,LEIEVE,Pereira,40,,LEI
8,2018-10-06,WATBOU,King,45,,BOU
8,2018-10-06,WATBOU,Wilson,47,,BOU
8,2018-10-06,CRYWOL,Doherty,56,,WOL
8,2018-10-06,BURHUD,Schindler,66,,HUD
8,2018-10-06,LEIEVE,Richarlison,7,,EVE
8,2018-10-06,MUNNEW,Kenedy,7,,NEW
8,2018-10-06,MUNNEW,Mata,70,,MUN
8,2018-10-06,MUNNEW,Martial,76,,MUN
8,2018-10-06,LEIEVE,Sigurðsson,77,,EVE
8,2018-10-06,TOTCAR,Dier,8,,TOT
8,2018-10-06,MUNNEW,Sánchez,90,,MUN
8,2018-10-07,FULARS,Lacazette,29,,ARS
8,2018-10-07,SOUCHE,Hazard,30,,CHE
8,2018-10-07,FULARS,Schürrle,44,,FUL
8,2018-10-07,FULARS,Lacazette,49,,ARS
8,2018-10-07,SOUCHE,Barkley,57,,CHE
8,2018-10-07,FULARS,Ramsey,67,,ARS
8,2018-10-07,FULARS,Aubameyang,79,,ARS
8,2018-10-07,FULARS,Aubameyang,90,1,ARS
8,2018-10-07,SOUCHE,Morata,90,3,CHE
