matchweek,date,match,player,minute,extra_minute,scorer_team
19,2018-12-26,LIVNEW,Lovren,11,,LIV
19,2018-12-26,BUREVE,Digne,13,,EVE
19,2018-12-26,LEIMCI,B.Silva,14,,MCI
19,2018-12-26,TOTBOU,Eriksen,16,,TOT
19,2018-12-26,LEIMCI,Albrighton,19,,LEI
19,2018-12-26,BUREVE,Mina,2,,EVE
19,2018-12-26,BUREVE,Sigurðsson,22,,EVE
19,2018-12-26,TOTBOU,Son,23,,TOT
19,2018-12-26,MUNHUD,Matić,28,,MUN
19,2018-12-26,BHAARS,Locadia,35,,ARS
19,2018-12-26,TOTBOU,Moura,35,,TOT
19,2018-12-26,BUREVE,Gibson,37,,BUR
19,2018-12-26,WATCHE,Hazard,45,1,CHE
19,2018-12-26,WATCHE,Pereyra,45,3,WAT
19,2018-12-26,LIVNEW,Salah,47,,LIV
19,2018-12-26,WATCHE,Hazard,58,,CHE
19,2018-12-26,TOTBOU,Kane,61,,TOT
19,2018-12-26,MUNHUD,Pogba,64,,MUN
19,2018-12-26,BHAARS,Aubameyang,7,,BHA
19,2018-12-26,TOTBOU,Son,70,,TOT
19,2018-12-26,BUREVE,Digne,71,,EVE
19,2018-12-26,FULWOL,Sessegnon,74,,FUL
19,2018-12-26,MUNHUD,Pogba,78,,MUN
19,2018-12-26,LIVNEW,Shaqiri,79,,LIV
19,2018-12-26,LEIMCI,Pereira,81,,LEI
19,2018-12-26,FULWOL,Saïss,85,,WOL
19,2018-12-26,LIVNEW,Fabinho,85,,LIV
19,2018-12-26,MUNHUD,Zanka,88,,HUD
19,2018-12-26,BUREVE,Richarlison,90,3,EVE
19,2018-12-27,SOUWHU,Redmond,50,,SOU
19,2018-12-27,SOUWHU,F.Anderson,53,,WHU
19,2018-12-27,SOUWHU,F.Anderson,59,,WHU
