matchday,date,fixture_code,player,minute,extra_minute,scorer_team
24,2019-01-29,NEWMCI,Agüero,1,,MCI
24,2019-01-29,FULBHA,Murray,17,,BHA
24,2019-01-29,FULBHA,Murray,3,,BHA
24,2019-01-29,HUDEVE,Richarlison,3,,EVE
24,2019-01-29,FULBHA,Chambers,47,,FUL
24,2019-01-29,MUNBUR,Barnes,51,,BUR
24,2019-01-29,FULBHA,Mitrović,58,,FUL
24,2019-01-29,WOLWHU,Saïss,66,,WOL
24,2019-01-29,NEWMCI,Rondón,66,,NEW
24,2019-01-29,ARSCAR,Aubameyang,66,,ARS
24,2019-01-29,FULBHA,Mitrović,74,,FUL
24,2019-01-29,FULBHA,Vietto,79,,FUL
24,2019-01-29,WOLWHU,Jiménez,80,,WOL
24,2019-01-29,NEWMCI,Ritchie,80,,NEW
24,2019-01-29,MUNBUR,Wood,81,,BUR
24,2019-01-29,ARSCAR,Lacazette,83,,ARS
24,2019-01-29,WOLWHU,Jiménez,86,,WOL
24,2019-01-29,MUNBUR,Pogba,87,,MUN
24,2019-01-29,MUNBUR,Lindelöf,90,2,MUN
24,2019-01-29,ARSCAR,Mendez-Laing,90,3,CAR
24,2019-01-30,LIVLEI,Mané,3,,LIV
24,2019-01-30,TOTWAT,Cathcart,38,,WAT
24,2019-01-30,SOUCRY,Zaha,41,,CRY
24,2019-01-30,LIVLEI,Maguire,45,2,LEI
24,2019-01-30,BOUCHE,King,47,,BOU
24,2019-01-30,BOUCHE,Brooks,63,,BOU
24,2019-01-30,BOUCHE,King,74,,BOU
24,2019-01-30,SOUCRY,Ward-Prowse,77,,SOU
24,2019-01-30,TOTWAT,Son,80,,TOT
24,2019-01-30,TOTWAT,Llorente,87,,TOT
24,2019-01-30,BOUCHE,Daniels,90,5,BOU
