week,date,match,player,minute,extra_minute,scorer_team
35,2019-04-20,HUDWAT,Deulofeu,5,,WAT
35,2019-04-20,MCITOT,Foden,5,,MCI
35,2019-04-21,EVEMUN,Richarlison,13,,EVE
35,2019-04-20,NEWSOU,Pérez,27,,NEW
35,2019-04-21,EVEMUN,Sigurdsson,28,,EVE
35,2019-04-20,NEWSOU,Pérez,31,,NEW
35,2019-04-20,WHULEI,Antonio,37,,WHU
35,2019-04-20,BOUFUL,Mitrović,53,,FUL
35,2019-04-21,EVEMUN,Digne,56,,EVE
35,2019-04-21,CARLIV,Wijnaldum,57,,LIV
35,2019-04-20,NEWSOU,Lemina,59,,SOU
35,2019-04-21,EVEMUN,Walcott,64,,EVE
35,2019-04-20,WHULEI,Vardy,67,,LEI
35,2019-04-20,HUDWAT,Deulofeu,80,,WAT
35,2019-04-20,NEWSOU,Pérez,80,,NEW
35,2019-04-20,WHULEI,Pérez,82,,WHU
35,2019-04-20,WHULEI,Barnes,90,2,LEI
35,2019-04-20,HUDWAT,Grant,90,3,HUD
35,2019-04-21,ARSCRY,Benteke,17,,CRY
35,2019-04-21,ARSCRY,Özil,47,,ARS
35,2019-04-21,ARSCRY,Zaha,61,,CRY
35,2019-04-21,ARSCRY,McArthur,69,,CRY
35,2019-04-21,ARSCRY,Aubameyang,77,,ARS
35,2019-04-21,CARLIV,Milner,81,,LIV
35,2019-04-22,CHEBUR,Hendrick,8,,BUR
35,2019-04-22,CHEBUR,Kanté,12,,CHE
35,2019-04-22,CHEBUR,Higuaín,14,,CHE
35,2019-04-22,CHEBUR,Barnes,24,,BUR
